2,0,"""mio padre ha terminato da poco la chemioterapia.  il caso di fargli fare il #vaccino antinfluenzale: ci sono controindicazioni? dobbiamo chiedere alloncologo?"" la risposta del nostro presidente giordano beretta  #influenza #tumore link"
2,0,"bambino colpito da meningite b, era vaccinato per il meningococco b e c.  il vaccino non ha dato copertura alla malattia.  perch esporsi a gravi rischi collaterali se il vaccino non protegge? link"
2,0,"basta che non obbligano la vaccinazione..
io prediligo la strada per la  cura.. #dimartedi"
2,0,"coronavirus, capua su la7: “vaccino non ci farà uscire presto da incubo link"
2,0,"dicono che per il covid serva vaccinarsi.

chi lo ha già avuto perché dovrebbe fare il vaccino?

quanto dura eventualmente l’immunità?

se averlo avuto non immunizza cazzo serve il vaccino?

qualcuno sa qualcosa?"
2,0,"è da un mese che nella mia testa è presente solo la sensazione del vaccino, quel fastidio/dolore momentaneo dell’ago intramuscolo e non riesco a non pensarci me lo sento in tutto il corpo tt bn"
2,0,"il manicheismo si/no
è una cagata pazzesca!

sivax/novax
silockdown/nolockdown
simascherina/nomascherina
noapertura/siapertura
noassembramento/siassembramento
noplasma/siplasma
nostatue/sistatue
nomontanelli/simontanelli
nofemminismo/sifemminismo link"
2,0,"il primo vaccino contro la malaria accende la speranza. ma riuscirà a vincere la malattia?  | national geographic link"
2,0,"ma io mi chiedo: col distanziamento e le mascherime, a che serve il vaccino antinfluenzale?"
2,0,"non c'è un vaccino ah no forse c'è no non c'è però ci sono i recidivi che si sono riammalati e non possiamo sapere chi sono gli ammalati perché non abbiamo tamponi per tutti e non sappiamo chi sono gli asintomatici e quindi tutti fermi a casa e morite di fame se non avete soldi"
2,0,"non so se il dato è disponibile ma sa sarebbe interessante sapere quanti fra i contagiati da coronavirus avevano fatto il vaccino antinfluenzale. sarebbe possibile saperlo? user user"
2,0,"papilloma virus: il vaccino riduce davvero il rischio di cancro? link user"
2,0,"premetto che faccio il vaccino antinfluenzale volontariamente da un paio d'anni. 
ma prima che sia reso obbligatorio, cosa cmq molto illiberale, sarebbe doverosa una statistica che non ho mai letto: quale percentuale nel contagio coronavirus tra vaccinati contro influenza e no?"
2,0,"si pu eradicare la polio col vaccino? link"
2,0,"vaccino coronavirus, robert gallo: “temo immunità non sia duratura”  link"
